ClienteID,Nombre,Apellido,Email,Telefono,PaisID,Ciudad,TipoClienteID,FechaRegistro,Activo
23,Ricardo,Martínez,ricardo.martínez23@email.com,9913192381,9,La Paz,1,6/17/23,1
24,Claudia,Rodríguez,claudia.rodríguez24@email.com,11926916149,11,Maracaibo,2,8/2/22,1
25,Esteban,González,esteban.gonzález25@email.com,7939259726,7,Maldonado,1,10/13/23,1
26,Marcela,Hernández,marcela.hernández26@email.com,4950455715,4,Medellín,1,10/16/23,1
27,Patricio,Pérez,patricio.pérez27@email.com,3921105525,3,Arequipa,1,9/13/20,1
28,Silvia,Sánchez,silvia.sánchez28@email.com,8995121716,8,Ciudad del Este,1,4/12/23,1
29,Horacio,Ramírez,horacio.ramírez29@email.com,5937786553,5,Ciudad de México,1,9/3/22,1
30,Verónica,Torres,verónica.torres30@email.com,6923244278,6,Rio de Janeiro,2,7/17/20,1
31,Martín,Flores,martín.flores31@email.com,1947920371,1,Mendoza,1,3/30/22,1
32,Florencia,Rivera,florencia.rivera32@email.com,7918940195,7,Maldonado,4,10/12/23,1
33,Santiago,Morales,santiago.morales33@email.com,10981037021,10,Quito,1,5/28/20,1
34,Valentina,Castro,valentina.castro34@email.com,2912082947,2,Concepción,3,4/30/20,1
35,Nicolás,Ortiz,nicolás.ortiz35@email.com,3915534738,3,Lima,1,4/28/24,1
36,Agustina,Ramos,agustina.ramos36@email.com,4990698452,4,Barranquilla,2,6/22/20,1
37,Tomás,Díaz,tomás.díaz37@email.com,2969429458,2,Concepción,1,10/1/22,1
38,Luciana,Cruz,luciana.cruz38@email.com,1960459387,1,Córdoba,2,11/4/20,1
39,Benjamín,Reyes,benjamín.reyes39@email.com,9971590035,9,Santa Cruz,1,4/25/24,1
40,Catalina,Vargas,catalina.vargas40@email.com,2940894687,2,Antofagasta,1,7/19/22,1
41,Emilio,García,emilio.garcía41@email.com,4937724745,4,Cali,1,3/16/22,1
42,Renata,López,renata.lópez42@email.com,10959305847,10,Guayaquil,1,10/29/23,1
43,Rodrigo,Martínez,rodrigo.martínez43@email.com,1982724602,1,Mendoza,2,12/29/22,1
44,Natalia,Rodríguez,natalia.rodríguez44@email.com,3958777785,3,Lima,1,7/21/23,1
45,Facundo,González,facundo.gonzález45@email.com,6968065067,6,São Paulo,1,1/18/23,1
46,Jimena,Hernández,jimena.hernández46@email.com,9981948856,9,Oruro,1,2/28/22,1
47,Ignacio,Pérez,ignacio.pérez47@email.com,12921166085,12,David,3,11/8/20,1
48,Gabriela,Sánchez,gabriela.sánchez48@email.com,11972426384,11,Valencia,1,8/19/23,1
49,Federico,Ramírez,federico.ramírez49@email.com,11927392985,11,Maracaibo,2,8/14/21,1
50,Daniela,Torres,daniela.torres50@email.com,6985329879,6,Brasília,3,10/23/20,1
51,Antonio,Flores,antonio.flores51@email.com,3996616645,3,Lima,2,10/31/22,1
52,Paola,Rivera,paola.rivera52@email.com,1938712584,1,Rosario,1,2/22/22,1
53,Ricardo,Morales,ricardo.morales53@email.com,9994587994,9,Santa Cruz,1,9/11/21,1
54,Claudia,Castro,claudia.castro54@email.com,3946867796,3,Arequipa,3,8/13/23,1
55,Esteban,Ortiz,esteban.ortiz55@email.com,1955594207,1,Buenos Aires,1,5/19/23,1
56,Marcela,Ramos,marcela.ramos56@email.com,5929595347,5,Guadalajara,1,11/10/23,1
57,Patricio,Díaz,patricio.díaz57@email.com,5920168038,5,Monterrey,1,8/18/22,1
58,Silvia,Cruz,silvia.cruz58@email.com,8973422517,8,Asunción,1,9/1/21,1
59,Horacio,Reyes,horacio.reyes59@email.com,7928079283,7,Montevideo,2,9/1/20,1
60,Verónica,Vargas,verónica.vargas60@email.com,12971148656,12,Santiago,1,5/18/23,1
61,Martín,García,martín.garcía61@email.com,8933923542,8,Lambaré,2,6/24/23,1
62,Florencia,López,florencia.lópez62@email.com,4969866743,4,Bogotá,1,4/9/23,1
63,Santiago,Martínez,santiago.martínez63@email.com,7981767324,7,Paysandú,1,10/7/20,1
64,Valentina,Rodríguez,valentina.rodríguez64@email.com,2937790260,2,Valparaíso,2,8/16/22,1
65,Nicolás,González,nicolás.gonzález65@email.com,9922728525,9,Oruro,1,9/6/21,1
66,Agustina,Hernández,agustina.hernández66@email.com,6986778549,6,Rio de Janeiro,1,3/12/21,1
67,Tomás,Pérez,tomás.pérez67@email.com,6954994433,6,Rio de Janeiro,2,4/10/24,1
68,Luciana,Sánchez,luciana.sánchez68@email.com,7918905652,7,Salto,1,6/22/21,1
69,Benjamín,Ramírez,benjamín.ramírez69@email.com,3947582812,3,Lima,1,9/7/23,1
70,Catalina,Torres,catalina.torres70@email.com,7935772309,7,Montevideo,1,5/6/21,1
71,Emilio,Flores,emilio.flores71@email.com,10964683048,10,Manta,2,11/4/21,1
72,Renata,Rivera,renata.rivera72@email.com,12922829649,12,Colón,1,5/13/23,1
73,Rodrigo,Morales,rodrigo.morales73@email.com,8942623978,8,Encarnación,2,6/13/23,1
74,Natalia,Castro,natalia.castro74@email.com,5983915259,5,Ciudad de México,4,10/23/23,1
75,Facundo,Ortiz,facundo.ortiz75@email.com,12955080685,12,Santiago,1,11/30/21,1
76,Jimena,Ramos,jimena.ramos76@email.com,4917522464,4,Medellín,1,6/23/21,1
77,Ignacio,Díaz,ignacio.díaz77@email.com,8914135524,8,Asunción,1,9/25/22,1
78,Gabriela,Cruz,gabriela.cruz78@email.com,5981577444,5,Guadalajara,2,8/12/22,1
79,Federico,Reyes,federico.reyes79@email.com,7958791980,7,Montevideo,2,7/18/20,1
80,Daniela,Vargas,daniela.vargas80@email.com,1940702791,1,Córdoba,1,6/15/23,1
81,Antonio,García,antonio.garcía81@email.com,11915715538,11,Barquisimeto,1,12/23/21,1
82,Paola,López,paola.lópez82@email.com,1982515555,1,Córdoba,2,2/25/22,1
83,Ricardo,Martínez,ricardo.martínez83@email.com,9972322029,9,La Paz,2,9/24/22,1
84,Claudia,Rodríguez,claudia.rodríguez84@email.com,12924061031,12,David,3,6/30/22,1
85,Esteban,González,esteban.gonzález85@email.com,8957244792,8,Asunción,1,2/22/24,1
86,Marcela,Hernández,marcela.hernández86@email.com,3949296838,3,Arequipa,2,1/27/23,1
87,Patricio,Pérez,patricio.pérez87@email.com,1977999049,1,Córdoba,1,12/12/21,1
88,Silvia,Sánchez,silvia.sánchez88@email.com,11955763869,11,Valencia,2,11/30/20,1
89,Horacio,Ramírez,horacio.ramírez89@email.com,11917183128,11,Maracaibo,2,7/20/22,1
90,Verónica,Torres,verónica.torres90@email.com,1929899015,1,Mendoza,3,5/6/23,1
91,Martín,Flores,martín.flores91@email.com,4929805588,4,Cali,1,8/18/23,1
92,Florencia,Rivera,florencia.rivera92@email.com,5950794844,5,Monterrey,2,3/27/21,1
93,Santiago,Morales,santiago.morales93@email.com,8930768407,8,Asunción,1,9/2/23,1
94,Valentina,Castro,valentina.castro94@email.com,1957419363,1,Córdoba,4,6/24/21,1
95,Nicolás,Ortiz,nicolás.ortiz95@email.com,5913545844,5,Ciudad de México,1,11/16/22,1
96,Agustina,Ramos,agustina.ramos96@email.com,8973092551,8,Encarnación,1,5/24/20,1
97,Tomás,Díaz,tomás.díaz97@email.com,8914491147,8,Asunción,2,3/12/24,1
98,Luciana,Cruz,luciana.cruz98@email.com,2947608586,2,Concepción,1,12/22/21,1
99,Benjamín,Reyes,benjamín.reyes99@email.com,8996285598,8,Encarnación,2,11/11/23,1
100,Catalina,Vargas,catalina.vargas100@email.com,7962863117,7,Montevideo,3,3/13/24,1
